,precision,recall,f1-score,support
Night Idle,1.0,0.9862068965517241,0.9930555555555556,145.0
Lunch Extreme Balanced,0.9829059829059829,0.9745762711864406,0.9787234042553191,118.0
Early-Morn Light Up-Flow,1.0,0.9862068965517241,0.9930555555555556,145.0
Late-Night Light Down-Flow,0.9822222222222222,1.0,0.9910313901345291,221.0
Late-Morn Light Balanced,0.9587628865979382,0.9893617021276596,0.9738219895287958,94.0
Lunch Extreme Down-Flow,0.9830508474576272,0.9830508474576272,0.9830508474576272,59.0
Evening Idle,1.0,1.0,1.0,130.0
Afternoon Heavy Down-Flow,0.9871244635193133,0.9787234042553191,0.9829059829059829,235.0
Evening Extreme Down-Flow,1.0,0.9879518072289156,0.9939393939393939,83.0
Late-Morn Heavy Up-Flow,0.94,0.9591836734693877,0.9494949494949495,49.0
Afternoon Idle,1.0,1.0,1.0,76.0
accuracy,0.9901506373117034,0.9901506373117034,0.9901506373117034,0.9901506373117034
macro avg,0.986172200225257,0.9871051249024,0.9865899224023091,1726.0
weighted avg,0.9902734515418667,0.9901506373117034,0.9901725407032472,1726.0
